,category,projects,persons,faces,color,bright,many dominant colors,warm hue accent,positive title,neutral title,negative title,positive text,neutral text,negative text,OCR match text,text match pic tags,creator match title,objects in pic AVG,length of title AVG,length of text AVG,H1_Emotion,H2_ClearMassage,H3_Trust
0,Dance,5,40,0,80,100,0,60,0,80,20,20,60,20,40,0,0,11,33,127,20,0,0
1,Photography,31,23,6,81,84,16,58,13,77,10,39,58,3,19,23,10,17,36,114,13,10,0
2,Games,49,16,4,76,84,22,47,6,78,16,27,45,29,20,4,8,9,33,99,14,24,2
3,Publishing,77,23,8,78,87,6,52,6,82,12,38,47,16,13,16,3,11,34,114,17,19,0
4,Film & Video,47,43,13,87,89,13,45,9,74,17,30,30,40,26,11,4,13,28,118,23,17,2
5,Art,47,19,4,85,94,6,40,13,79,9,15,70,15,4,13,2,14,34,121,15,23,0
6,Comics,53,40,2,74,87,13,51,0,74,26,11,42,47,9,0,8,6,35,114,17,28,2
7,Music,39,54,31,74,74,15,38,5,87,8,36,46,18,13,5,8,13,36,109,26,21,3
8,Theater,12,33,0,58,67,0,25,17,67,17,58,25,17,8,0,8,7,28,116,8,17,0
9,Crafts,10,10,10,90,80,10,40,0,90,10,40,50,10,10,30,0,14,30,88,10,20,0
10,Fashion,12,17,0,67,100,0,50,17,83,0,50,33,17,33,8,8,9,33,102,8,25,0
11,Technology,9,11,0,89,100,22,33,11,78,11,22,44,33,11,11,0,14,43,111,11,0,0
12,Food,79,15,4,84,90,10,56,8,87,5,44,49,6,13,20,9,13,34,111,9,14,0
13,Journalism,2,0,0,100,100,0,50,0,100,0,50,0,50,0,50,0,12,30,109,0,0,0
