,category,hasContent,hasHuman,hasFace,hasColor,isBright,hasManyDomColors,hasWarmHueAccent,sentimentTitle,sentimentText,TitleMatchPicOCR,TextMatchPic,CreatorMatchTitle,NumOfObjectsInPic,lengthOfTitle,lengthOfText,H1_Emotion,H2_ClearMassage,H3_Trust,successful
0,Food,1,0,0,1,1,0,1,1.0,1.0,0,0,0,1,50,115,0,0,0,0
1,Film & Video,1,1,1,1,1,1,0,0.0,0.5,0,0,0,20,33,129,0,0,0,0
2,Photography,0,0,0,1,1,0,1,0.5,0.5,0,0,0,1,20,135,0,0,0,0
3,Film & Video,0,0,0,1,1,0,0,0.0,0.5,1,0,0,1,27,135,0,0,0,0
4,Film & Video,1,1,0,1,1,0,1,0.5,0.5,1,0,1,17,19,131,0,0,1,0
5,Photography,1,0,0,1,0,0,0,1.0,1.0,0,0,0,6,15,134,0,0,0,0
6,Photography,1,1,1,1,0,0,0,1.0,1.0,0,0,0,27,28,133,0,0,0,1
7,Publishing,1,0,0,1,1,0,1,0.5,1.0,0,0,1,3,40,133,0,0,0,0
8,Film & Video,0,0,0,1,1,0,1,0.0,0.0,0,0,0,17,42,135,0,0,0,0
9,Art,0,0,0,1,1,1,0,0.5,0.5,0,0,0,1,22,132,0,0,0,1
10,Comics,1,1,0,1,1,0,1,0.5,1.0,0,0,0,1,23,134,1,0,0,1
11,Art,1,0,0,1,1,0,1,0.5,0.5,0,0,0,29,38,132,0,0,0,1
12,Comics,1,1,0,1,1,0,1,0.5,0.5,0,0,0,19,30,132,0,0,0,0
13,Comics,0,1,0,1,0,1,1,0.5,0.5,0,0,0,16,50,81,0,0,0,1
14,Film & Video,1,1,1,1,1,1,1,0.5,0.0,0,0,0,20,44,124,0,0,0,1
