,coefficient,is_Significant,r2,significance
CLASS_fewObjects,-,True,0.002016730527299632,0.045061482601452305
CLASS_longText,+,False,5.383400747095536e-06,0.9175736069945754
CLASS_longTitle,+,True,0.005420072746582662,0.0010081351551371885
CLASS_manyObjects,-,False,7.468143344205434e-05,0.6998919730351079
CLASS_negativeText,-,False,0.00017539945164442706,0.5546866558156223
CLASS_negativeTitle,-,False,5.134692918610716e-05,0.7492559400465265
CLASS_neutralText,+,True,0.001989188830420342,0.04655406201441237
CLASS_neutralTitle,+,False,0.0006555784699564707,0.25335628879133776
CLASS_normalObjects,+,True,0.002973877187974778,0.014924622510128991
CLASS_normalText,+,False,0.0002276358552769827,0.5009453509706807
CLASS_normalTitle,-,False,0.0009400288463241542,0.17135291874892994
CLASS_positiveText,-,False,0.0013679943342300624,0.0988817108972423
CLASS_positiveTitle,-,False,0.0008899262666704648,0.18322168666434427
CLASS_shortText,-,False,0.00035879994569451904,0.3981321119201604
CLASS_shortTitle,-,False,0.00159285362612596,0.07493318206918216
CON_duration,+,False,0.000206056369144153,0.5219738687585285
CON_experience,+,True,0.0043468671809697825,0.003240341346298065
CON_goal,+,True,0.02044160688080788,1.4537717558765364e-10
CON_hasVideo,+,True,0.0097450764591426,1.015032274117436e-05
CON_numOfFbFriends,+,False,5.922031327673051e-07,0.9726181881970727
CON_numOfImg,+,True,0.09267833813882104,5.486990224750952e-44
CON_numOfRewards,+,True,0.022805478383128304,1.2464399301453912e-11
CON_text_Length,+,True,0.014565864726606335,6.555198842355001e-08
CreatorMatchTitle,-,False,9.718238341483559e-05,0.6601398532869611
H1_Emotion,-,False,1.0796354968451923e-05,0.8834803210912796
H2_ClearMassage,-,False,1.3991408873388198e-06,0.9579233194939287
H3_Trust,-,False,9.408062515579579e-05,0.6652722562056218
NumOfObjectsInPic,+,False,0.0004570642624181379,0.34023722657948974
TextMatchPic,-,False,0.00017787236951874487,0.5519088801748386
TitleMatchPicOCR,+,True,0.002120967487261294,0.039852661136627936
hasColor,+,False,0.0005693207318389776,0.2871392739381527
hasFace,-,False,0.00031041668508817027,0.4319144891903137
hasHuman,-,False,0.0009214974791048929,0.17563644093967165
hasManyDomColors,+,True,0.004837652033118181,0.001895717522697798
hasWarmHueAccent,+,False,0.0009468274212603913,0.16981161433451064
isBright,-,False,0.0012589354417527785,0.11339690889089615
lengthOfText,+,False,0.0005828510958170666,0.28148205577331575
lengthOfTitle,+,True,0.0055553276054282905,0.0008711617249653596
