,Category,Project counter,Successful projects,Success rate AVG[%],Goal AVG[$],Funding ratio AVG[%],Backers AVG,Duration AVG[days]
0,Design,191,133,69.63,13030,802.59,565,33.6
1,Crafts,58,47,81.03,3519,213.34,48,29.9
2,Food,169,67,39.64,28109,58.02,91,35.1
3,Music,223,163,73.09,6741,94.38,71,32.5
4,Games,143,94,65.73,29426,383.88,809,29.3
5,Technology,229,120,52.4,47858,365.55,626,36.2
6,Photography,68,22,32.35,9029,117.28,60,31.7
7,Fashion,45,30,66.67,8739,419.67,216,29.3
8,Art,259,156,60.23,10328,133.14,61,30.5
9,Dance,11,6,54.55,9705,66.01,42,34.8
10,Film & Video,300,188,62.67,24737,83.77,99,33.0
11,Comics,135,112,82.96,9402,183.36,320,31.9
12,Publishing,232,140,60.34,11069,106.35,113,32.7
13,Theater,32,23,71.88,8634,78.08,52,29.6
14,Journalism,48,4,8.33,30729,13.33,19,33.0
