,count,mean,std,min,25%,50%,75%,max
hasContent,346.0,0.7,0.5,0.0,0.0,1.0,1.0,1.0
hasHuman,346.0,0.3,0.4,0.0,0.0,0.0,1.0,1.0
hasFace,346.0,0.1,0.2,0.0,0.0,0.0,0.0,1.0
hasColor,346.0,0.8,0.4,0.0,1.0,1.0,1.0,1.0
isBright,346.0,0.9,0.3,0.0,1.0,1.0,1.0,1.0
hasManyDomColors,346.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
hasWarmHueAccent,346.0,0.5,0.5,0.0,0.0,0.0,1.0,1.0
sentimentTitle,346.0,0.5,0.2,0.0,0.5,0.5,0.5,1.0
TitleMatchPicOCR,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TextMatchPic,346.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0
CreatorMatchTitle,346.0,0.1,0.2,0.0,0.0,0.0,0.0,1.0
NumOfObjectsInPic,346.0,11.6,9.8,0.0,1.0,12.0,20.0,36.0
lengthOfTitle,346.0,33.2,13.5,4.0,21.2,34.0,47.0,57.0
lengthOfText,346.0,112.5,27.0,17.0,101.0,125.0,132.0,135.0
successful,346.0,0.7,0.5,0.0,0.0,1.0,1.0,1.0
